County,Percent_Households_Below_Poverty_Level,Median_Age,Homeowner_Vacancy_Rate,Percent_Pop_25_And_Over_With_College_Or_Higher_Educ
"Yuma, Arizona",18.5,34.6,1.8,15
"Arkansas, Arkansas",19.1,40.7,3.9,15.8
"Ashley, Arkansas",18.3,41.7,1.3,12.3
"Baxter, Arkansas",12.7,52.2,1.4,17.9
"Benton, Arkansas",9.3,35.4,1.5,33.4
"Boone, Arkansas",14.2,42.3,2.3,16.1
"Bradley, Arkansas",19.1,40.6,1.7,14.3
"Calhoun, Arkansas",13.6,44.5,1.8,11.4
"Carroll, Arkansas",14.5,45,2.7,21.2
"Chicot, Arkansas",29.1,43.3,4.3,15.9
"Clark, Arkansas",20.3,33.7,4.1,26.6
"Clay, Arkansas",22.8,42.8,2.5,12.6
"Cleburne, Arkansas",13.4,49.4,4.2,15.5
"Cleveland, Arkansas",15.4,42.9,0.6,16.2
"Columbia, Arkansas",24.5,35.7,2.2,19.6
"Conway, Arkansas",17.1,42.5,1.3,15.6
"Craighead, Arkansas",15.8,34.2,1.8,26.2
"Crawford, Arkansas",16.5,38.6,1.4,16
"Crittenden, Arkansas",18.8,35.2,1.5,17.4
"Cross, Arkansas",17.3,40.9,1.9,14.4
"Dallas, Arkansas",19.5,43.9,5.7,11.9
"Desha, Arkansas",26.4,40.1,0.9,14.1
"Drew, Arkansas",20.9,37.4,5.2,22.8
"Faulkner, Arkansas",17.6,32.8,1.4,30.6
"Franklin, Arkansas",22.9,41.2,0.9,12.1
"Fulton, Arkansas",21.6,48.4,1.4,12.2
"Garland, Arkansas",17.2,45,2.9,21.6
"Grant, Arkansas",14.3,41,0.2,18.7
"Greene, Arkansas",16.3,38,2.5,16.2
"Hempstead, Arkansas",19.5,40.4,1.3,15.1
"Hot Spring, Arkansas",17.5,41.3,0.7,13.3
"Howard, Arkansas",20.1,39.2,2.2,13.6
"Independence, Arkansas",15.2,39.3,1.5,17.5
"Izard, Arkansas",15.2,47.9,3.1,13.1
"Jackson, Arkansas",21.6,39.7,3,10.1
"Jefferson, Arkansas",21.6,38.7,1.9,18
"Johnson, Arkansas",20.7,38.4,1.6,15.4
"Lafayette, Arkansas",24,47,0.4,15.8
"Lawrence, Arkansas",16.5,40.8,0.3,15.4
"Lee, Arkansas",26.8,42.5,2.4,10.7
"Lincoln, Arkansas",18.9,39,2.3,9.7
"Little River, Arkansas",15,42.9,1.2,12.5
"Logan, Arkansas",17.4,42,1,13.3
"Lonoke, Arkansas",11.9,36.2,2.3,20.6
"Madison, Arkansas",16.9,42.7,0.4,14.2
"Marion, Arkansas",18.7,52.2,3.8,17.1
"Miller, Arkansas",19.8,39.5,1.9,16.8
"Mississippi, Arkansas",22.5,36.6,2.9,13.8
"Monroe, Arkansas",24.8,47.3,0.6,12.7
"Montgomery, Arkansas",20.4,50.4,1.6,13.5
"Nevada, Arkansas",23.1,44.3,2.2,14.6
"Newton, Arkansas",20.5,49,3.1,20.5
"Ouachita, Arkansas",23.8,43,2.1,14.5
"Perry, Arkansas",17.5,43.7,2.7,12.7
"Phillips, Arkansas",29.6,38.9,5.3,13.8
"Pike, Arkansas",16.5,43.1,1.4,17.3
"Poinsett, Arkansas",20.1,40.1,2.4,11.1
"Polk, Arkansas",22.6,43.9,2.5,14.1
"Pope, Arkansas",18,35.3,1.9,22.8
"Prairie, Arkansas",15.4,47.2,1.6,15.4
"Pulaski, Arkansas",15.8,37.2,2.7,34.3
"Randolph, Arkansas",18.8,41.1,2.7,13.8
"St. Francis, Arkansas",25.4,38.8,3.1,10.4
"Saline, Arkansas",8.9,39.6,1,26.7
"Scott, Arkansas",21.1,40.7,4.4,9.3
"Searcy, Arkansas",24.9,47.9,1.5,11.9
"Sebastian, Arkansas",17.2,37.6,2.5,21.3
"Sevier, Arkansas",19.4,35.3,0.5,12.8
"Sharp, Arkansas",21,47.6,1.5,10.2
"Stone, Arkansas",19.9,50.1,1.1,13.9
"Union, Arkansas",19.2,40.3,1.5,21.1
"Van Buren, Arkansas",18.6,48,2.6,14.5
"Washington, Arkansas",16.8,32,1.4,33.3
"White, Arkansas",15.9,36.9,2.4,20.9
"Woodruff, Arkansas",26.9,45.5,1.3,14
"Yell, Arkansas",17,40.3,1.5,12.8
"Alameda, California",9.6,37.6,0.6,47.4
"Alpine, California",8.9,52.2,3.8,34.5
"Amador, California",9.3,50.5,2.5,19.3
"Butte, California",18.3,37.1,2,27.2
"Calaveras, California",8.9,52,3.6,18.3
"Colusa, California",13.1,35.3,2.1,15
"Contra Costa, California",8.3,39.7,0.8,42.4
"Del Norte, California",17.4,39.5,2.5,14.8
"El Dorado, California",8.5,45.9,1.1,34.3
"Fresno, California",20,32.2,1.3,21.2
"Glenn, California",18.8,36.4,0.1,14.2
"Humboldt, California",18.8,38.4,0.9,30.4
"Imperial, California",23.9,32.4,1.5,15.2
"Inyo, California",9,45.8,0.4,27.2
"Kern, California",18.9,31.6,2,16.4
"Kings, California",15.8,31.8,1.3,14.7
"Lake, California",17.9,45.6,2.8,15.5
"Lassen, California",12.7,36.6,2.9,12.9
"Los Angeles, California",14.5,36.5,1,32.5
"Madera, California",17.4,34.1,2.2,14.6
"Marin, California",6.9,46.8,0.5,59.5
"Mariposa, California",14.2,51.7,6.3,24.6
"Mendocino, California",16.5,43.1,1.2,24.4
"Merced, California",19.2,31.1,0.9,13.8
"Modoc, California",16.2,47.8,5.8,15.2
"Mono, California",7.4,37.7,6.5,28.8
"Monterey, California",11.4,34.4,1.4,24.7
"Napa, California",7.8,41.3,1,35.7
"Nevada, California",10.2,50.5,2,37.2
"Orange, California",9.9,38.1,1,40.6
"Placer, California",8.1,42,1,39.7
"Plumas, California",14.4,52.3,4.7,23.7
"Riverside, California",13.2,35.6,1.9,22.3
"Sacramento, California",13.4,36.2,1.1,30.9
"San Benito, California",8.3,35.7,0.4,19.7
"San Bernardino, California",14.8,33.3,1.7,21
"San Diego, California",10.5,35.8,1.1,38.8
"San Francisco, California",10.9,38.2,0.8,58.1
"San Joaquin, California",14,34.3,0.8,18.8
"San Luis Obispo, California",12,39.2,1.6,35.4
"San Mateo, California",6.2,39.7,0.6,51
"Santa Barbara, California",12.3,33.8,0.8,34.2
"Santa Clara, California",7.4,37.1,0.4,52.4
"Santa Cruz, California",11.8,37.8,0.8,40.8
"Shasta, California",15.6,41.5,0.9,22.2
"Sierra, California",7.4,54.8,4.1,17.9
"Siskiyou, California",17.6,47.8,1.8,23.2
"Solano, California",9.1,38.1,0.8,26.9
"Sonoma, California",8.5,42.1,0.8,35.5
"Stanislaus, California",13.9,34.1,1.1,17.1
"Sutter, California",14.5,35.7,1.8,18.2
"Tehama, California",20.1,41,2.1,15.7
"Trinity, California",18.4,52.5,3.3,19.5
"Tulare, California",21.2,31,1.1,14.6
"Tuolumne, California",13.8,48.4,2.3,20.5
"Ventura, California",8.3,38.1,1.1,33.8
"Yolo, California",17.4,31,0.8,41.4
"Yuba, California",15.8,32.8,1.1,17.1
"Adams, Colorado",9.6,33.8,1,24.3
"Alamosa, Colorado",26.6,31.8,0.9,25
"Arapahoe, Colorado",7.8,36.6,0.6,42.8
"Archuleta, Colorado",8.7,50.9,4.1,37.2
"Baca, Colorado",21.1,46,1.8,21.4
"Bent, Colorado",26.1,40.2,7.4,11.4
"Boulder, Colorado",11.5,36.6,0.6,62.1
"Broomfield, Colorado",6,37.8,0.6,55.7
"Chaffee, Colorado",12.2,49.2,3.5,33.8
"Cheyenne, Colorado",13.2,39.4,1.8,19.2
"Clear Creek, Colorado",8.9,48.1,0.3,48.1
"Conejos, Colorado",20.1,38.8,0.9,21
"Costilla, Colorado",27.6,51.9,1.3,19.3
"Crowley, Colorado",22.9,35.4,2.3,9
"Custer, Colorado",13.5,59.7,10.6,32.5
"Delta, Colorado",17.6,47.3,2.8,21.7
"Denver, Colorado",12.1,34.5,0.8,49.4
"Dolores, Colorado",11.6,48.8,7.2,24.1
"Douglas, Colorado",3.3,38.7,0.9,58
"Eagle, Colorado",7.5,37,1.7,47.2
"Elbert, Colorado",5.1,46.1,0.2,35.8
"El Paso, Colorado",9.9,34.2,1.1,38.5
"Fremont, Colorado",15,45.1,1.6,18.5
"Garfield, Colorado",9.1,36.5,2.5,31
"Gilpin, Colorado",4.7,49,2.4,39.6
"Grand, Colorado",6.8,42.9,2.5,38
"Gunnison, Colorado",13.2,34.5,3.7,56.2
"Hinsdale, Colorado",8.8,56.1,11.1,45.7
"Huerfano, Colorado",16.5,55,5.9,21.1
"Jackson, Colorado",8.8,51.6,3.6,20
"Jefferson, Colorado",7.1,40.3,0.6,45.2
"Kiowa, Colorado",15,42.5,0,21.4
"Kit Carson, Colorado",6.6,38.3,0.7,18.7
"Lake, Colorado",12.9,36.7,0.4,32.3
"La Plata, Colorado",9.9,40.4,3.1,44.2
"Larimer, Colorado",11.6,36,0.7,47.3
"Las Animas, Colorado",20.9,45.9,1.8,19.5
"Lincoln, Colorado",15.2,38,3.7,12.6
"Logan, Colorado",13.5,38.2,0.6,20.2
"Mesa, Colorado",13.7,39.7,1.2,28.2
"Mineral, Colorado",13.9,56.1,10.9,46.5
"Moffat, Colorado",18.9,36.6,2.4,17.6
"Montezuma, Colorado",13.4,45.2,3.6,29.6
"Montrose, Colorado",15.2,45.2,1.4,25.2
"Morgan, Colorado",12.5,36.2,1.2,17.5
"Otero, Colorado",25.2,39.9,0.3,18.6
"Ouray, Colorado",8.1,54.1,3.1,47.8
"Park, Colorado",5.3,50.7,2.8,29.8
"Phillips, Colorado",7,37.1,4.4,23.8
"Pitkin, Colorado",7.1,41.8,1.3,60.8
"Prowers, Colorado",18.1,38.3,1.4,18.3
"Pueblo, Colorado",17.9,39.3,1.6,21.8
"Rio Blanco, Colorado",10.3,36.9,5.2,22.7
"Rio Grande, Colorado",20.1,42.1,3.2,24.5
"Routt, Colorado",10.4,40.2,2.2,49.8
"Saguache, Colorado",20.5,49,3.3,22.1
"San Juan, Colorado",9.3,51.2,9,35.7
"San Miguel, Colorado",10.1,41.8,4.8,59.4
"Sedgwick, Colorado",18,44.1,0.7,19.5
"Summit, Colorado",5.9,39.1,1,52.4
"Teller, Colorado",8.4,50,2,37.7
"Washington, Colorado",12.1,41.6,1.7,15.4
"Weld, Colorado",9.9,34.4,0.5,27.5
"Yuma, Colorado",12.2,37.8,1.8,21.8
"Fairfield, Connecticut",9,40.6,2.1,47.9
"Hartford, Connecticut",11.1,40.4,1.4,38.1
"Litchfield, Connecticut",6.8,47.3,1.9,35.4
"Middlesex, Connecticut",7.6,45.7,1.8,42.2
"New Haven, Connecticut",11.5,40.3,1.6,35
"New London, Connecticut",9.3,41.4,2.2,33.3
"Tolland, Connecticut",8.5,37.7,1.5,41.8
"Windham, Connecticut",11.7,41.2,1.8,24.3
"Kent, Delaware",13.1,37.7,2.3,23.7
"New Castle, Delaware",10.8,38.4,1.3,36.2
"Sussex, Delaware",10.5,49.6,2.5,28.3
"District of Columbia, District of Columbia",14.6,34,1.6,58.5
"Alachua, Florida",20.2,31.6,3.5,43.3
"Baker, Florida",11.9,37.7,0,13.2
"Bay, Florida",13.5,39.8,2.4,23.7
"Bradford, Florida",22,39.7,1.1,9.9
"Brevard, Florida",10.7,47.3,1.8,30.2
"Broward, Florida",12.8,40.4,1.9,32.4
"Calhoun, Florida",18.1,41.6,1.3,9.5
"Charlotte, Florida",10,59.1,2.5,23.4
"Citrus, Florida",14.6,56.5,2.4,18.3
"Clay, Florida",9.6,39.7,1.5,24.9
"Collier, Florida",9.2,50.8,3.3,36.4
"Columbia, Florida",15.2,40.4,1.4,14.9
"DeSoto, Florida",20.2,40.9,1,11.5
"Dixie, Florida",22.9,46.5,2.6,10.4
"Duval, Florida",13.5,36.2,2.3,30
"Escambia, Florida",12.5,37.2,2.1,26.5
"Flagler, Florida",10.4,51.3,2.1,25.1
"Franklin, Florida",18.3,46.4,2.7,18.8
"Gadsden, Florida",18.5,40.8,0.7,16.2
"Gilchrist, Florida",15.1,42.1,2,13.4
"Glades, Florida",14.7,47.9,3.1,11.2
"Gulf, Florida",13.8,44.9,5.3,19.2
"Hamilton, Florida",27.6,40.9,2.9,7.9
"Hardee, Florida",22.2,35.4,4.3,10.2
"Hendry, Florida",22.4,34,1.5,8.3
"Hernando, Florida",13.5,49,2.4,18.4
"Highlands, Florida",15.9,53.5,3.8,17.2
"Hillsborough, Florida",13.7,37.2,1.8,33.5
"Holmes, Florida",24.1,42.7,0.3,10.7
"Indian River, Florida",10.7,53.5,2.9,29.1
"Jackson, Florida",21.3,41.7,1.6,12.6
"Jefferson, Florida",16.7,48,0.9,22.3
"Lafayette, Florida",18.8,37.3,2.9,11.8
"Lake, Florida",10.8,46.9,2.4,24
"Lee, Florida",11.4,48.5,2.8,28.2
"Leon, Florida",19.5,31,2.2,46.2
"Levy, Florida",21,46.9,1.5,12.2
"Liberty, Florida",17.2,40.7,1.5,14.4
"Madison, Florida",25.1,43.5,3,14
"Manatee, Florida",10.2,48.3,2.4,29.8
"Marion, Florida",14.1,48.7,2.2,20.1
"Martin, Florida",9.2,52.2,1.7,34.1
"Miami-Dade, Florida",18.3,39.9,1.9,29.8
"Monroe, Florida",10,47.7,2.8,34.4
"Nassau, Florida",10.2,45.3,1.1,29.6
"Okaloosa, Florida",9.9,36.9,1.5,31.1
"Okeechobee, Florida",18.5,41.1,3.2,11.3
"Orange, Florida",14.1,35.1,3.6,34.6
"Osceola, Florida",14,35.9,2.9,21.8
"Palm Beach, Florida",11.4,44.8,1.9,36.7
"Pasco, Florida",12.9,44.5,2.7,24
"Pinellas, Florida",11.7,48.1,2.3,31.7
"Polk, Florida",14.2,40.2,2.6,20.2
"Putnam, Florida",22.5,45.1,4,12.3
"St. Johns, Florida",7.9,43.7,1.8,44.7
"St. Lucie, Florida",12.9,45.1,2.3,21.6
"Santa Rosa, Florida",9.5,39.9,1.8,27.7
"Sarasota, Florida",8.5,56.1,2.1,35.4
"Seminole, Florida",10.5,39.2,2,39.6
"Sumter, Florida",8.4,67.4,2.1,31.8
"Suwannee, Florida",16.2,43.3,3.6,15.5
"Taylor, Florida",19.6,42,3.4,8.3
"Union, Florida",20.4,39.3,0.4,9.2
"Volusia, Florida",13.7,46.6,2.1,23.7
"Wakulla, Florida",11,40.6,3.3,18.3
"Walton, Florida",12.3,44,2.4,28.5
"Washington, Florida",21.5,41.5,1.2,12.5
"Appling, Georgia",22,40.3,0.4,9.8
"Atkinson, Georgia",25.7,36.4,1.1,12.2
"Bacon, Georgia",25.1,36.7,1,10.5
"Baker, Georgia",25.6,46.1,5.7,12.9
"Baldwin, Georgia",21.3,35.5,1.5,23.3
"Banks, Georgia",14.5,41.1,0.7,13.4
"Barrow, Georgia",11.4,35.7,2.2,19
"Bartow, Georgia",13.1,38.1,2.5,18.6
"Ben Hill, Georgia",29.5,39.9,3.5,11.2
"Berrien, Georgia",25.2,39.6,0.7,11.4
"Bibb, Georgia",24.1,36.4,2.5,25.4
"Bleckley, Georgia",16.7,35.8,0.8,18.7
"Brantley, Georgia",19,41.1,0.7,8.9
"Brooks, Georgia",22.5,42,1.3,17.8
"Bryan, Georgia",11.6,34.6,3.3,33.1
"Bulloch, Georgia",24.5,28.8,1.3,27
"Burke, Georgia",20.4,37.4,1.2,13.2
"Butts, Georgia",20.6,38.6,5,12.2
"Calhoun, Georgia",28.6,39.6,1,9.1
"Camden, Georgia",14,32.8,1.6,23.9
"Candler, Georgia",29.3,38.7,0.8,13
"Carroll, Georgia",16.2,34.8,1.3,21.1
"Catoosa, Georgia",10.3,40.4,2,21.4
"Charlton, Georgia",18.8,41.2,1,8.8
"Chatham, Georgia",14.3,35.6,2.4,33.6
"Chattahoochee, Georgia",18.7,24.5,0,29.5
"Chattooga, Georgia",19.6,39.4,2.1,8.9
"Cherokee, Georgia",7.5,38.7,1.4,38.2
"Clarke, Georgia",27.5,28,1.8,44
"Clay, Georgia",32.4,49.8,3,12.5
"Clayton, Georgia",16.3,32.5,1.9,19.5
"Clinch, Georgia",37.1,39.9,1.8,10
"Cobb, Georgia",8.4,36.7,1.6,47.4
"Coffee, Georgia",21.1,36.3,0.8,13
"Colquitt, Georgia",22.5,36.8,3.7,12.8
"Columbia, Georgia",6.6,36.9,4.7,36.4
"Cook, Georgia",23.4,37.3,0.8,13.5
"Coweta, Georgia",10.1,39,1.3,30.3
"Crawford, Georgia",20.7,44.4,0.7,10.5
"Crisp, Georgia",29.1,38.5,3,14.1
"Dade, Georgia",14,42.6,1.6,15.2
"Dawson, Georgia",8.3,43.6,1.9,30.6
"Decatur, Georgia",23,37.8,1.2,13.8
"DeKalb, Georgia",12.7,35.8,1.6,44.2
"Dodge, Georgia",22.2,41.8,0.3,14.3
"Dooly, Georgia",21.9,43.2,0.4,12.1
"Dougherty, Georgia",25.8,35.6,2.7,21.4
"Douglas, Georgia",11.5,36.5,1.7,28.2
"Early, Georgia",28.2,39.9,0.5,15.1
"Echols, Georgia",25.6,40.6,1.9,9.7
"Effingham, Georgia",9.8,36,0.5,20
"Elbert, Georgia",20.8,42.6,3.3,11.6
"Emanuel, Georgia",23.2,36.9,0.9,13
"Evans, Georgia",26.1,37.6,0.9,15.8
"Fannin, Georgia",14.8,52.1,6.6,21.8
"Fayette, Georgia",5.6,43.4,0.8,46.2
"Floyd, Georgia",17.2,38.3,1.8,20.9
"Forsyth, Georgia",5.9,38.5,1,53.1
"Franklin, Georgia",22.3,41.2,2.8,15.9
"Fulton, Georgia",12.6,35.5,2.3,52.9
"Gilmer, Georgia",16.3,47.2,2.5,20.4
"Glascock, Georgia",17.7,42.7,0,11.6
"Glynn, Georgia",16.2,41.6,2,29.9
"Gordon, Georgia",17.4,38.4,1.4,14.7
"Grady, Georgia",20,40.3,2,13.9
"Greene, Georgia",16.6,50.2,2.9,26.9
"Gwinnett, Georgia",9.7,35.3,1.5,36.9
"Habersham, Georgia",16.2,39.7,2.3,19.3
"Hall, Georgia",11.8,36.7,1.7,24.5
"Hancock, Georgia",20.6,45.6,5.1,8.6
"Haralson, Georgia",16.1,40.4,3.2,14.8
"Harris, Georgia",6.7,42.9,2,31.4
"Hart, Georgia",17,44.1,3.2,15.7
"Heard, Georgia",15.9,41.9,0.4,8.7
"Henry, Georgia",8,36.9,1.1,28.5
"Houston, Georgia",13.1,35.4,1.7,28.3
"Irwin, Georgia",20.1,39.7,0,15.1
"Jackson, Georgia",11.1,38.1,1.7,22.7
"Jasper, Georgia",16,43,3,14.2
"Jeff Davis, Georgia",22.6,36.6,1.7,10.3
"Jefferson, Georgia",23.8,40,1.8,9.9
"Jenkins, Georgia",26.6,44.3,3.1,7.9
"Johnson, Georgia",22.2,41.8,2.3,9.1
"Jones, Georgia",13.9,40.4,1,19.6
"Lamar, Georgia",20.7,37.8,1.3,15.8
"Lanier, Georgia",24.8,35.6,1,16.5
"Laurens, Georgia",24.8,38.9,1,16.2
"Lee, Georgia",10.6,37.2,1.2,25.4
"Liberty, Georgia",15.6,28.4,5.1,18.3
"Lincoln, Georgia",20.8,47.1,1.1,15.9
"Long, Georgia",13.7,32.9,2.1,17.4
"Lowndes, Georgia",24.1,30.5,2.8,25.3
"Lumpkin, Georgia",15.4,37,1,26.4
"McDuffie, Georgia",22,37.7,2.3,14
"McIntosh, Georgia",18.4,49.4,3.6,17.6
"Macon, Georgia",26.9,40.3,0.7,8.8
"Madison, Georgia",14.9,41.1,0.2,18.5
"Marion, Georgia",16.3,44.6,0,13.4
"Meriwether, Georgia",22,42.3,4,10.4
"Miller, Georgia",21,43.5,0,14
"Mitchell, Georgia",21.5,39,2.6,9.7
"Monroe, Georgia",15.2,42.9,0.7,26.8
"Montgomery, Georgia",21.2,40,1.8,16
"Morgan, Georgia",10.1,44.6,0.5,20.7
"Murray, Georgia",14.7,38.2,0.6,10.1
"Muscogee, Georgia",19.6,34,2.3,25.8
"Newton, Georgia",15.4,36.4,1.4,19.8
"Oconee, Georgia",5.7,40.4,1.1,52.3
"Oglethorpe, Georgia",14.4,42.4,2.2,17.1
"Paulding, Georgia",8.6,36,2.6,22.6
"Peach, Georgia",23,37.9,1,20.5
"Pickens, Georgia",10.8,45.4,3.2,23.1
"Pierce, Georgia",21.3,39.4,0.4,12.6
"Pike, Georgia",12.4,40.4,1.6,17.1
"Polk, Georgia",16.6,37,1.7,13.7
"Pulaski, Georgia",20.5,43.1,0.6,13.2
"Putnam, Georgia",14.3,46.2,5.8,23.4
"Quitman, Georgia",24.5,47.3,19.9,7.1
"Rabun, Georgia",16.3,49.2,2.4,24.2
"Randolph, Georgia",23,41,4.8,10.3
"Richmond, Georgia",20.5,34.1,4,21.4
"Rockdale, Georgia",11.9,38.1,2.9,26.3
"Schley, Georgia",21,37.8,2.9,13.3
"Screven, Georgia",19.9,41.4,2.1,15.4
"Seminole, Georgia",24.4,44.9,2,16.2
"Spalding, Georgia",17.2,39.2,2.8,17.8
"Stephens, Georgia",15.5,41.8,4.4,21
"Stewart, Georgia",30.5,35.4,0.9,12.2
"Sumter, Georgia",23.6,35.7,3.3,18.3
"Talbot, Georgia",19.6,50.1,1.8,12.1
"Taliaferro, Georgia",19.4,44.2,1,8.1
"Tattnall, Georgia",22,37.3,1,13.2
"Taylor, Georgia",24.1,45.2,0.2,12.6
"Telfair, Georgia",26.9,41.5,0.8,8.6
"Terrell, Georgia",30.9,41.1,1.8,11.2
"Thomas, Georgia",19,40.4,2.7,24.7
"Tift, Georgia",21.2,36.2,0.5,18.1
"Toombs, Georgia",21.2,36.4,2.6,16.2
"Towns, Georgia",14.7,54,2.8,30.1
"Treutlen, Georgia",27,40.1,4,12.4
"Troup, Georgia",21,36.4,2.5,19
"Turner, Georgia",32.6,40.3,3.2,11.7
